age,annual_income,employment_length_years,existing_debt,debt_to_income_ratio,num_credit_lines,num_late_payments_2yrs,credit_utilization,savings_balance,checking_balance,loan_amount,loan_term_months,credit_history_years,has_bankruptcy,home_ownership,purpose,creditworthy
58,47065.65,6.1,12625.67,0.268,2,0,0.253,1803.44,4446.98,7610.48,60,40,0,rent,home_improvement,1
52,41533.99,2.2,10020.01,0.241,11,0,0.707,2919.39,5082.58,13004.52,60,33,0,rent,home_improvement,0
43,66450.42,6.3,19004.49,0.286,7,0,0.201,7942.23,4735.51,9185.35,60,24,0,rent,business,1
54,45265.34,11.2,10358.97,0.229,10,0,0.171,5004.75,5323.76,11529.02,24,33,0,rent,medical,1
33,35204.21,4.5,11780.31,0.335,3,0,0.219,1850.85,0.0,9993.09,60,9,0,rent,business,1
58,59633.51,9.2,12242.82,0.205,0,1,0.583,5338.02,2240.73,7333.6,36,39,0,rent,debt_consolidation,1
47,52359.19,1.6,7705.74,0.147,7,0,0.822,3569.64,936.12,25010.81,48,27,0,mortgage,medical,1
42,45957.05,10.9,23522.53,0.512,4,1,0.128,3720.07,6593.59,4559.26,60,17,0,rent,debt_consolidation,1
44,90547.14,8.6,46337.42,0.512,6,0,0.551,20332.57,9466.46,2952.62,36,25,0,own,car,1
48,67215.35,1.0,19022.62,0.283,5,1,0.317,8328.69,840.14,8563.94,60,25,0,rent,business,1
20,64655.9,5.9,34263.62,0.53,3,0,0.184,5229.73,1560.82,7405.6,12,0,0,own,medical,1
26,67726.49,11.7,16276.71,0.24,8,0,0.601,6180.17,295.75,8589.04,60,8,0,rent,medical,1
31,66540.42,0.7,14992.27,0.225,6,0,0.559,585.57,5941.4,14613.99,60,11,0,rent,business,1
24,53242.89,1.6,26938.79,0.506,7,2,0.614,22657.62,4398.49,5043.55,48,0,1,own,education,1
41,45420.02,6.7,16144.36,0.355,8,2,0.526,9016.35,2352.11,1577.31,36,19,0,rent,medical,1
53,60075.22,17.7,25479.96,0.424,8,1,0.585,3883.02,1746.88,31805.97,48,28,0,rent,education,0
52,52918.77,3.6,12634.58,0.239,3,0,0.162,889.51,3775.66,7497.53,48,31,0,mortgage,business,1
43,29823.06,9.5,7029.62,0.236,9,2,0.48,2005.23,6016.78,11359.17,24,18,0,own,car,1
62,40382.93,8.3,2590.6,0.064,2,0,0.171,7124.59,2169.16,7736.42,36,44,0,rent,education,1
47,50719.27,4.1,27001.63,0.532,11,1,0.192,8260.4,6597.73,6668.66,60,29,0,rent,home_improvement,0
23,78044.7,7.8,10990.12,0.141,9,1,0.28,6902.29,4520.08,7807.93,48,0,0,own,medical,1
58,60163.63,4.8,16963.83,0.282,6,0,0.217,16748.68,7298.79,11728.96,48,34,0,mortgage,education,1
48,42819.56,5.2,3457.4,0.081,2,0,0.236,3259.65,4410.04,14215.89,24,23,0,rent,medical,1
51,39282.32,0.0,14254.98,0.363,10,2,0.03,2770.23,2796.0,18448.44,36,26,0,rent,debt_consolidation,0
47,83881.55,6.9,19054.87,0.227,6,0,0.109,9986.54,8787.64,12511.6,36,24,0,rent,car,1
47,54059.69,11.5,23075.96,0.427,9,0,0.186,2613.7,7175.09,7579.62,60,22,0,rent,debt_consolidation,1
23,21758.12,7.3,6528.32,0.3,0,2,0.055,1270.7,1657.37,24488.26,48,5,0,mortgage,business,1
47,55208.72,12.5,4892.82,0.089,4,0,0.147,7680.73,3518.79,11624.23,24,22,0,rent,medical,1
59,72163.47,9.9,1854.06,0.026,3,0,0.425,3174.8,7652.69,12728.81,12,37,1,mortgage,medical,0
34,38901.8,6.7,5158.29,0.133,9,2,0.68,4630.08,6003.57,18589.98,60,9,0,rent,medical,1
49,58632.06,3.9,23681.7,0.404,5,0,0.674,9857.0,191.06,8460.03,12,27,0,mortgage,home_improvement,0
20,60487.34,4.6,27770.49,0.459,1,0,0.372,3942.83,569.53,17692.45,48,0,0,rent,medical,0
36,39636.92,0.0,7963.36,0.201,7,0,0.152,2975.77,5688.37,2918.99,48,13,0,rent,car,1
41,86602.78,5.7,26330.73,0.304,1,0,0.382,8366.87,3958.42,7955.78,12,22,0,mortgage,car,1
69,60841.27,7.7,8956.26,0.147,5,1,0.248,2670.64,8214.0,19793.31,24,47,0,mortgage,medical,1
29,50633.72,15.6,24640.14,0.487,11,0,0.707,3207.05,1979.32,15703.69,24,4,0,rent,debt_consolidation,0
33,54180.5,9.6,28800.17,0.532,5,1,0.287,1261.46,2673.69,10531.1,12,10,0,rent,car,1
39,37265.57,2.7,15616.44,0.419,5,1,0.32,1359.29,4649.78,4041.84,48,15,0,rent,car,1
69,36784.95,0.0,2468.64,0.067,0,0,0.545,3044.45,4026.7,2331.96,24,47,0,rent,home_improvement,1
62,49086.34,6.0,12353.7,0.252,5,1,0.458,5555.88,788.53,8232.87,48,42,0,own,business,1
20,50087.3,11.1,27295.98,0.545,11,0,0.689,5700.95,5139.52,7735.88,48,0,0,rent,debt_consolidation,0
30,53001.01,5.9,7503.56,0.142,11,0,0.336,2789.96,2086.51,14072.14,24,9,0,rent,car,1
60,89347.07,9.7,33536.42,0.375,11,0,0.454,4774.08,8449.06,9340.69,36,37,0,own,debt_consolidation,1
21,70817.68,6.1,36643.81,0.517,4,0,0.158,4199.28,5370.28,15260.64,24,1,0,mortgage,business,1
62,31221.46,10.6,13418.91,0.43,0,1,0.585,2758.88,2005.41,10228.22,12,41,0,rent,business,1
33,83209.09,0.0,28515.41,0.343,2,0,0.319,3015.96,3490.3,4616.09,12,10,0,rent,medical,1
65,48961.13,15.0,14127.92,0.289,2,0,0.642,971.89,0.0,11174.58,12,47,0,own,debt_consolidation,1
33,73163.25,1.4,37479.46,0.512,0,0,0.416,7221.37,3018.94,8883.5,60,14,0,rent,education,1
41,50242.59,11.0,11516.04,0.229,8,1,0.098,2773.41,5403.3,8313.12,24,23,0,mortgage,debt_consolidation,1
52,59536.71,5.6,29629.79,0.498,6,0,0.104,6807.33,5693.56,9147.69,24,32,0,mortgage,business,1
25,38137.48,6.4,9475.56,0.248,8,1,0.537,10952.69,1189.41,10487.44,36,2,0,mortgage,business,0
47,63944.81,5.8,26918.77,0.421,2,1,0.412,3634.22,8195.75,8560.48,36,24,0,rent,business,1
44,76049.17,8.3,38429.8,0.505,8,0,0.575,9186.48,6941.08,3131.6,60,23,0,own,car,1
58,32986.21,9.3,10286.44,0.312,0,0,0.343,388.85,3433.61,3612.75,12,34,0,rent,home_improvement,1
69,76461.32,12.3,14086.95,0.184,8,0,0.848,5010.78,1640.07,6650.3,60,51,0,mortgage,medical,1
52,45359.02,14.0,2132.92,0.047,9,0,0.479,4286.74,7424.9,16875.03,24,31,0,mortgage,medical,1
39,99571.92,8.7,44698.61,0.449,3,0,0.726,940.11,9718.29,9615.7,48,15,0,rent,debt_consolidation,0
39,73632.53,15.6,25746.74,0.35,3,0,0.225,15365.71,11085.22,8412.62,60,17,0,mortgage,car,1
40,69226.85,7.5,11035.74,0.159,5,0,0.53,3137.16,2926.96,24046.19,12,22,0,own,debt_consolidation,1
60,54285.61,12.4,26330.05,0.485,6,0,0.285,8260.46,0.0,10218.29,36,37,0,rent,home_improvement,0
35,128297.0,9.1,65144.14,0.508,6,0,0.218,16399.11,3419.11,8565.91,36,11,0,mortgage,home_improvement,1
27,49062.02,4.3,24050.1,0.49,1,0,0.181,11804.81,6181.39,7050.34,48,6,0,mortgage,medical,0
36,40678.92,7.9,13782.2,0.339,4,0,0.238,487.36,710.05,6416.02,48,13,0,mortgage,business,1
20,45873.47,9.5,24661.04,0.538,6,1,0.489,4841.41,6815.48,2666.87,60,0,0,rent,car,0
24,80814.53,6.8,39085.7,0.484,7,0,0.306,6509.97,3052.66,8473.81,36,4,0,rent,business,1
23,59156.31,9.1,4451.99,0.075,7,1,0.295,498.57,5525.1,3867.73,60,4,0,own,home_improvement,0
58,56266.95,11.3,30383.38,0.54,7,0,0.518,4250.32,4824.22,5160.72,60,35,0,rent,medical,1
55,49300.91,6.9,15326.05,0.311,5,2,0.753,3406.46,2883.96,3754.57,60,30,0,own,home_improvement,0
54,55297.64,0.0,28070.13,0.508,6,2,0.09,1593.18,3251.47,23004.2,24,34,0,own,education,1
42,48194.77,15.4,20385.47,0.423,4,0,0.506,3457.21,1191.69,10008.61,60,23,0,rent,business,0
55,71455.03,5.5,25953.2,0.363,3,0,0.548,4757.01,12286.5,17484.66,12,37,0,rent,business,1
27,52603.87,2.9,10159.72,0.193,3,1,0.322,3005.6,5252.27,13520.56,48,6,1,mortgage,home_improvement,1
64,46148.76,1.4,1584.1,0.034,5,0,0.331,4985.19,0.0,7426.84,12,46,0,mortgage,car,1
44,78423.69,5.3,13070.89,0.167,1,1,0.266,11116.75,478.39,5696.44,60,19,0,mortgage,debt_consolidation,1
66,41087.25,4.2,15756.34,0.383,2,0,0.744,1883.06,4128.28,7358.88,36,42,0,rent,education,0
26,59435.11,3.3,28377.34,0.477,1,1,0.228,4610.73,4360.73,4740.59,48,5,0,rent,business,0
44,29763.83,3.6,632.29,0.021,4,1,0.143,7036.05,0.0,1645.9,48,23,1,mortgage,home_improvement,1
54,35853.24,9.6,4669.03,0.13,5,0,0.171,2757.19,7200.78,2877.09,60,35,0,rent,medical,1
44,50741.36,17.2,19115.58,0.377,1,0,0.729,2262.36,0.0,12159.42,12,21,0,own,debt_consolidation,1
41,47908.73,11.1,8160.13,0.17,1,2,0.541,1581.61,2430.11,3117.06,60,17,0,rent,business,0
27,47884.94,12.6,4553.98,0.095,6,2,0.439,5918.57,3581.0,5156.3,24,3,1,rent,medical,0
38,73865.92,5.1,4685.03,0.063,2,1,0.444,3525.69,2935.22,7119.84,36,20,0,mortgage,education,1
31,75361.04,7.5,26984.97,0.358,10,0,0.162,3028.98,8779.35,3917.58,12,10,0,own,car,1
34,63267.47,9.1,21212.05,0.335,1,0,0.393,7460.79,6293.44,11484.5,12,10,1,own,home_improvement,1
53,40394.5,3.7,19190.02,0.475,5,3,0.41,1006.13,3268.87,14960.6,36,33,0,own,home_improvement,0
51,55155.03,4.9,10306.49,0.187,9,1,0.464,6237.78,3874.19,3219.45,60,32,0,own,medical,1
49,104746.75,11.3,9684.97,0.092,1,1,0.541,3621.17,10547.28,3027.51,24,26,0,mortgage,home_improvement,1
37,123343.69,12.5,54709.36,0.444,5,0,0.212,4997.52,7814.46,5878.3,36,19,0,mortgage,education,1
67,78691.07,7.3,42787.37,0.544,5,1,0.633,1905.18,0.0,12678.3,24,47,0,own,car,1
23,40892.46,1.0,8628.57,0.211,6,2,0.495,1729.63,4997.48,12502.63,60,4,0,mortgage,debt_consolidation,0
36,55316.16,5.5,26476.27,0.479,10,0,0.538,9831.68,8924.72,2803.95,24,15,1,mortgage,car,0
25,61869.63,0.0,26241.95,0.424,6,1,0.167,24817.14,4829.68,10578.52,36,5,0,own,medical,0
36,58784.44,7.4,29576.82,0.503,4,0,0.332,4259.75,4649.59,7340.08,24,13,0,own,medical,1
68,81574.09,8.3,19978.91,0.245,4,0,0.556,5122.85,5878.84,16133.28,48,47,0,rent,home_improvement,1
37,72746.77,5.6,5360.69,0.074,7,0,0.296,10375.39,579.01,4483.6,36,16,0,rent,car,1
65,40198.93,8.2,3325.61,0.083,3,0,0.16,4601.78,1877.03,3818.25,60,41,0,own,education,1
44,46508.53,9.1,19742.65,0.424,8,1,0.97,7600.38,5287.79,12999.5,12,25,0,mortgage,home_improvement,0
54,78575.62,8.3,37525.04,0.478,4,0,0.287,8389.87,6805.95,2852.14,12,30,0,own,debt_consolidation,1
42,90408.24,1.0,23706.75,0.262,0,0,0.23,16177.08,14443.53,8963.67,24,19,1,own,debt_consolidation,0
32,62128.35,5.7,3204.12,0.052,6,1,0.588,6373.2,6916.02,7737.33,24,12,0,own,education,1
57,94439.32,9.0,5227.61,0.055,3,1,0.569,22350.26,5065.23,6009.75,36,37,0,mortgage,business,1
68,59778.7,14.9,20160.85,0.337,4,1,0.191,8356.97,6440.52,6757.52,60,49,0,mortgage,car,1
32,42411.92,5.6,21497.37,0.507,3,1,0.539,9441.39,2723.82,8961.32,60,14,0,mortgage,home_improvement,0
58,70485.17,9.8,16337.0,0.232,1,0,0.188,4438.45,0.0,1846.88,36,37,0,mortgage,car,0
32,144125.15,11.4,52580.96,0.365,3,0,0.767,10091.09,18223.02,4541.71,36,11,0,mortgage,home_improvement,1
55,37356.57,6.0,11478.33,0.307,10,1,0.28,3646.75,3718.94,2220.15,48,31,0,mortgage,debt_consolidation,1
59,93139.28,12.7,45784.63,0.492,3,0,0.341,9475.21,20607.65,1135.8,36,37,0,own,car,1
41,69127.56,13.0,31879.24,0.461,8,0,0.105,5548.98,3275.77,2674.65,36,16,0,own,education,1
56,45616.28,13.9,5731.9,0.126,4,1,0.558,3945.09,5059.74,7561.67,60,38,0,own,home_improvement,1
32,29973.9,9.3,11363.04,0.379,0,0,0.228,2049.75,1115.36,11543.44,36,12,0,mortgage,medical,0
23,26631.15,18.8,12494.72,0.469,10,1,0.395,2585.67,822.35,14912.53,48,0,0,mortgage,business,0
23,47853.36,3.9,24550.31,0.513,10,2,0.536,2788.27,9131.34,14272.25,24,5,0,own,debt_consolidation,0
41,65309.25,17.6,21725.87,0.333,2,0,0.87,11387.4,0.0,9112.81,36,22,0,own,medical,0
65,76573.88,10.8,8670.69,0.113,2,1,0.64,10296.73,5532.81,1622.17,60,40,0,rent,education,1
25,82714.1,13.7,26126.32,0.316,11,0,0.283,8109.41,13322.85,1971.84,12,0,0,rent,business,1
42,63361.56,5.4,23626.52,0.373,1,0,0.706,1242.29,0.0,2729.16,48,22,0,mortgage,medical,1
54,60084.88,11.2,9879.11,0.164,10,0,0.139,1018.75,2909.39,11320.92,12,35,0,rent,home_improvement,0
29,51292.5,14.1,27476.92,0.536,2,1,0.028,4449.18,6115.96,4135.02,60,6,0,own,medical,1
55,65845.88,1.6,9320.02,0.142,10,1,0.101,2492.67,901.55,14563.3,12,35,0,own,home_improvement,1
34,45840.47,6.2,23058.53,0.503,11,2,0.491,5630.26,4138.39,4970.49,60,15,1,own,car,0
60,37968.85,0.0,9315.5,0.245,2,2,0.3,348.14,1301.35,10819.11,60,39,0,mortgage,car,0
48,58847.06,6.1,1194.22,0.02,2,0,0.927,15474.6,8281.08,10603.2,12,27,0,own,home_improvement,1
46,74540.29,2.9,22954.18,0.308,1,0,0.287,2075.22,10356.5,16797.64,60,25,0,mortgage,business,1
28,35477.2,5.9,12523.15,0.353,9,1,0.551,5826.5,1766.95,7916.3,60,7,0,rent,car,0
42,47854.94,21.6,23006.86,0.481,4,1,0.624,3164.25,0.0,7934.75,24,19,0,own,home_improvement,0
62,58122.09,15.6,17814.33,0.306,7,0,0.384,1080.31,5787.84,8554.58,12,40,0,mortgage,education,1
19,57715.99,0.0,4033.69,0.07,7,2,0.158,4051.75,7210.65,14263.61,12,0,0,own,business,0
57,68499.65,9.8,35017.79,0.511,6,0,0.272,14208.84,6850.43,4362.33,60,35,0,mortgage,debt_consolidation,1
44,103628.84,11.0,33123.72,0.32,2,0,0.488,6766.4,9705.22,6861.42,60,19,0,rent,debt_consolidation,1
55,26701.08,5.3,4376.62,0.164,4,0,0.773,5219.22,2323.1,8087.2,36,34,0,own,education,0
52,105365.05,7.9,52302.69,0.496,6,0,0.694,8666.61,5970.83,2858.72,60,31,0,mortgage,business,1
